no_cargo,CATEGORIA
GRAVADOR DE FILME,OUTROS
GUARDA,GUARDA
GUARDA HOSPITALAR,GUARDA
GUARDA PORTUARIO,GUARDA
GUARDA SANITARIO,GUARDA
GUIA DE TURISMO,GUIA DE TURISMO
GUINDASTEIRO,OUTROS
HIDROMETRISTA,OUTROS
HISTORIADOR,HISTORIADOR
ILUSTRADOR,ILUSTRADOR
IMPRESSOR,IMPRESSOR
IMPRESSOR OFF SET,IMPRESSOR
IMPRESSOR PLANA OFF SET,IMPRESSOR
IMPRESSOR ROTATIVO,IMPRESSOR
INSP.DE SEGURANCA,INSPETOR
INSPETOR DE AGENCIA,INSPETOR
INSPETOR DE ALUNOS,INSPETOR
INSPETOR DE CAMPO,INSPETOR
INSPETOR DE SEGURANCA,INSPETOR
INSPETOR DE TURMA,INSPETOR
INSPETOR EDUCACIONAL,INSPETOR
INSPETOR INST PREDIAIS,INSPETOR
INSPETOR ORQUESTRA,INSPETOR
INSPETOR SANITARIO,INSPETOR
INSPETOR TECNICO,INSPETOR
INSTR. OCUPACIONAL,INSTRUTOR
INSTRUTOR DE CAMPOS,INSTRUTOR
INSTRUTOR DE ENSINO PROFISSIO,INSTRUTOR
INSTRUTOR ENS PROFISSIONAL,INSTRUTOR
INSTRUTOR ENS. PROFISSIONAL,INSTRUTOR
INSTRUTOR OCUPACIONAL,INSTRUTOR
INTRUTOR TEC. ITINERANTE,INSTRUTOR
JARDINEIRO,OUTROS
JORNALISTA,OUTROS
JUIZ DIREITO 1 ENTRANCIA,JUIZ
JUIZ DIREITO 2 ENTRANCIA,JUIZ
JUIZ DIREITO 3 ENTRANCIA,JUIZ
JUIZ DIREITO AUXILIAR,JUIZ
JUIZ LEIGO,JUIZ
JUIZ SUBSTITUTO,JUIZ
JUIZ SUBSTITUTO 3 ENTRANCIA,JUIZ
LABORATORISTA,OUTROS
LABORATORISTA  VI7,OUTROS
LAVADEIRA,OUTROS
LEITURISTA,OUTROS
LICEN EM LETRAS,OUTROS
LICENC EST. SOCIAL,OUTROS
LIQUIDANTE,OUTROS
LOC NOTICIARIST DE RADIO,OUTROS
LOCUTOR APRESENT. ANIMADOR,OUTROS
LOCUTOR APRESENTADOR,OUTROS
LOCUTOR APRESENTADOR -ANIMADO,OUTROS
LOCUTOR ENTREVISTADOR,OUTROS
LOCUTOR ESPORTIVO,OUTROS
LOCUTOR NOTICIARISTA DE RADIO,OUTROS
LUTHIER,OUTROS
MAJOR,MILITAR
MAQUINISTA,OUTROS
MARCENEIRO,OUTROS
MARCINEIRO,OUTROS
MARKETING,OUTROS
MEC MANUT MAQ EQUIP AGRIC VI6,MECANICO
MEC MANUT MAQ EQUIP AGRIC VI7,MECANICO
MEC MANUT MAQ EQUIP AGRICOLA,MECANICO
MEC. MAQ. PESADAS,MECANICO
MEC. VEICULO AUTO-MOTORES,MECANICO
MEC. VEICULOS AUTOMOTIVOS,MECANICO
MECANICO,MECANICO
MECANICO DE MAQ.PESADAS  VI1,MECANICO
MECANICO DE MAQ.PESADAS  VI7,MECANICO
MECANICO DE VEICULOS  IV7,MECANICO
MECANICO DE VOO,MECANICO
MECANICO MANUT  VEICULOS  VI4,MECANICO
MECANOGRAFO,MECANICO
MEDICA,MEDICO
MEDICO,MEDICO
MEDICO  IVI,MEDICO
MEDICO C5,MEDICO
MEDICO C6,MEDICO
MEDICO C7,MEDICO
MEDICO D6,MEDICO
MEDICO D7,MEDICO
MEDICO DO TRABALHO,MEDICO
MEDICO TEMPORARIO,MEDICO
MEDICO VETERINARIO,MEDICO
MEMBRO CONSELHO ADMINISTRATIVO,CONSELHEIRO
MEMBRO CONSELHO FISCAL,CONSELHEIRO
MEMBRO DA DIRETORIA,DIRETOR
MEMBRO DA LICITACAO,OUTROS
MERCEOLOGISTA,OUTROS
MERENDEIRA,OUTROS
MESTRE DE CERIMONIA,OUTROS
MESTRE DE OBRA,OUTROS
MESTRE DE OBRAS,OUTROS
METROLOGISTA,OUTROS
METROLOGISTA I,OUTROS
MONITOR,OUTROS
MONITOR PENITENCIARIO,OUTROS
MONTADOR,OUTROS
MONTADOR DE BATERIA,OUTROS
MONTADOR DE BATERIA IV7,OUTROS
MONTADOR DE ORQUESTRA,OUTROS
MORDOMO,OUTROS
MOTORISTA,MOTORISTA
MOTORISTA  IV3,MOTORISTA
MOTORISTA  IV4,MOTORISTA
MOTORISTA  IV5,MOTORISTA
MOTORISTA  IV7,MOTORISTA
MOTORISTA (ESTATUTARIO),MOTORISTA
MOTORISTA A DISPOSICAO,MOTORISTA
MOTORISTA C5,MOTORISTA
MOTORISTA C7,MOTORISTA
MOTORISTA COORDENARIA,MOTORISTA
MOTORISTA D6,MOTORISTA
MOTORISTA D7,MOTORISTA
MOTORISTA DA DIR ADMINIST,MOTORISTA
MOTORISTA DA PRESIDENCIA,MOTORISTA
MOTORISTA DA SUPERINTENDENCIA,MOTORISTA
MOTORISTA DE DIRETORIA,MOTORISTA
MOTORISTA DE GABINETE,MOTORISTA
MOTORISTA DE SERVICO,MOTORISTA
MOTORISTA DIDEC,MOTORISTA
MOTORISTA DIRAF,MOTORISTA
MOTORISTA DIRET ADMINISTRATIV,MOTORISTA
MOTORISTA DIRET OPERACOES,MOTORISTA
MOTORISTA DIRETORIA,MOTORISTA
MOTORISTA DIROP,MOTORISTA
MOTORISTA DO DIRETOR ADMINIST,MOTORISTA
MOTORISTA DO SUPERINTENTE,MOTORISTA
MOTORISTA GABINETE,MOTORISTA
MOTORISTA GAPRE,MOTORISTA
MOTORISTA I,MOTORISTA
MOTORISTA I3,MOTORISTA
MOTORISTA I5,MOTORISTA
MOTORISTA I7,MOTORISTA
MOTORISTA INTERPA,MOTORISTA
MOTORISTA NEFETIVO,MOTORISTA
MOTORISTA POLICIAL,MOTORISTA
MOTORISTA PRESIDENCIA,MOTORISTA
MOTORISTA REGIONAL C G,MOTORISTA
MOTORISTA REPRESENTACAO,MOTORISTA
MOTORISTA SUPERINTENDENTE,MOTORISTA
MOTORISTA VICE-PRESIDENCIA,MOTORISTA
MOTORISTA VICE PRESID?NCIA,MOTORISTA
MOTORISTA VICE PRESIDENCIA,MOTORISTA
MUSEOLOGO,OUTROS
MUSICO,MUSICO
MUSIOLOGA,MUSICO
NECROTOMISTA,OUTROS
NECROTOMISTA POLICIAL,OUTROS
NOTICIARISTA,OUTROS
NUTRICIONISTA,NUTRICIONISTA
OBOEISTA SUBSTITUTO,MUSICO
OBOISTA PROF ORQUESTRA,MUSICO
OFIC REGISTRO CIVIL 1 ENTR,OFICIAL
OFIC REGISTRO CIVIL 2 ENTR,OFICIAL
OFIC REGISTRO CIVIL 3 ENTR,OFICIAL
OFICIAL ADMINISTRATIVO,OFICIAL
OFICIAL DE DILIGENCIA I,OFICIAL
OFICIAL DE DILIGENCIA II,OFICIAL
OFICIAL DE GABINETE,OFICIAL
OFICIAL DE JUSTICA,OFICIAL
OFICIAL DE PROMOTORIA I,OFICIAL
OFICIAL DE PROMOTORIA II,OFICIAL
OFICIAL JUSTICA AVALIAD 1 ENT,OFICIAL
OFICIAL JUSTICA AVALIAD. 1 ENT,OFICIAL
OFICIAL JUSTICA AVALIAD. 3 ENT,OFICIAL
OFICIAL REG CART DISTRITAL,OFICIAL
OFICIAL REG.CART.DIST.2ENT,OFICIAL
OFICIAL REGIST.NOTIFIC.EXPED.,OFICIAL
OPE EQUIP REPROGRAFIA,OPERADOR 
OPER EST ELEV JUNIOR,OPERADOR 
OPER EST ELEV SENIOR,OPERADOR 
OPER EST TRAT JUNIOR,OPERADOR 
OPER EST TRAT SENIOR,OPERADOR 
OPER FOTOCOPIADORA MUSICA,OPERADOR 
OPER MAQ EQUIP PESADOS  VI3,OPERADOR 
OPER MAQ EQUIP PESADOS  VI5,OPERADOR 
OPER MAQ EQUIP PESADOS  VI6,OPERADOR 
OPER MAQ EQUIP PESADOS  VI7,OPERADOR 
OPER SISTEMAS,OPERADOR 
OPER. CENTRO TELEFONICO,OPERADOR 
OPER. COMPUTADOR,OPERADOR 
OPER. EMPILHADEIRA E SIM,OPERADOR 
OPER. EQUIP REPROGRAFIA,OPERADOR 
OPER. EQUIP. DE TERR,OPERADOR 
OPER. EQUIPAMENTO RODOVIARIO,OPERADOR 
OPER. EQUIPAMENTOS,OPERADOR 
OPER. EST ELEV,OPERADOR 
OPER. EST TRAT,OPERADOR 
OPER. GRAVACAO,OPERADOR 
OPER. GUIUNDASTE E SIMILARES,OPERADOR 
OPER. MAQ AGRICOLAS,OPERADOR 
OPER. MAQ EQUIP PESADOS,OPERADOR 
OPER. MAQUINA,OPERADOR 
OPER. MARTELETE,OPERADOR 
OPER. SISTEMAS,OPERADOR 
OPER. SONDA,OPERADOR 
OPER. TELEMARKETING APRENDIZ,OPERADOR 
OPER. TRANSMIS. DE RADIO,OPERADOR 
OPERAD TELEMARKETING APRENDIZ,OPERADOR 
OPERAD. DE EQUIP. DE TERR,OPERADOR 
OPERADOR,OPERADOR 
OPERADOR DE ABASTECIMENTO,OPERADOR 
OPERADOR DE AUDIO,OPERADOR 
OPERADOR DE CENTRO TELEFONICO,OPERADOR 
OPERADOR DE COMPOSER,OPERADOR 
OPERADOR DE COMPUTADOR,OPERADOR 
OPERADOR DE COMPUTADOR  VI7,OPERADOR 
OPERADOR DE EQUIP DE TERRA,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI1,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI2,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI3,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI4,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI5,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI6,OPERADOR 
OPERADOR DE EQUIP.RODOV. VI7,OPERADOR 
OPERADOR DE EQUIPAMENTO,OPERADOR 
OPERADOR DE EQUIPAMENTOS,OPERADOR 
OPERADOR DE FOTOLITO,OPERADOR 
OPERADOR DE GRAVACAO,OPERADOR 
OPERADOR DE MAQ AGRICOLAS,OPERADOR 
OPERADOR DE MAQUINAS AGRICOLA,OPERADOR 
OPERADOR DE MARTELETE  II7,OPERADOR 
OPERADOR DE RADIO,OPERADOR 
OPERADOR DE RADIO  III7,OPERADOR 
OPERADOR DE RAIO X,OPERADOR 
OPERADOR DE SISTEMA,OPERADOR 
OPERADOR DE SISTEMAS,OPERADOR 
OPERADOR DE TRANSMIS. DE RADI,OPERADOR 
OPERADOR DEQUIPAMENTO,OPERADOR 
OPERADOR EQUIP.,OPERADOR 
OPERADOR EQUIPAMENTOS,OPERADOR 
OPERADOR MAQ COPIADORA,OPERADOR 
OPERADOR TEATRAL,OPERADOR 
OPERARIO,OPERARIO
OPERARIO   I1,OPERARIO
ORCAMENTO GRAFICO,OUTROS
ORIENTADOR DE DISCIPLINA,OUTROS
ORIENTADOR DE MERCADO,OUTROS
ORIENTADOR DE MERCADO I3,OUTROS
ORIENTADOR DE MERCADO I4,OUTROS
ORIENTADOR DE MERCADO I7,OUTROS
ORIENTADOR EDUCACIONAL,OUTROS
Outros,OUTROS
OUTROS,OUTROS
OUTROS TRABALHADORES DE APOIO,OUTROS
OUTROS TRABALHADORES DOS SERVI,OUTROS
OUVIDOR,OUTROS
OUVIDOR ADJUNTO,OUTROS
OUVIDOR ASSISTENTE,OUTROS
OUVIDOR GERAL,OUTROS
OUVIDOR PUBLICO,OUTROS
OUVIDOR PUBLICO ADJUNTO AL-OG-,OUTROS
OUVIDOR PUBLICO AL-OG-001,OUTROS
PAGINADOR,OUTROS
PAPILOSCOPISTA,PAPILOSCOPISTA
PARTEIRA,PARTEIRA
PEDAGOGA,PROFESSOR
PEDAGOGO,PROFESSOR
PEDAGOGO C5,PROFESSOR
PEDAGOGO C7,PROFESSOR
PEDAGOGO D7,PROFESSOR
PEDREIRO,PEDREIRO
PEDREIRO  III2,PEDREIRO
PEDREIRO  III3,PEDREIRO
PEDREIRO  III4,PEDREIRO
PEDREIRO  III5,PEDREIRO
PEDREIRO  III7,PEDREIRO
PENSAO DE EX-GOVERNADOR,PENSIONISTA
PENSAO DE EX GOVERNADOR,PENSIONISTA
PENSAO DO TESOURO,PENSIONISTA
PENSAO EX-DEPUTADO,PENSIONISTA
PENSAO EX DEPUTADO,PENSIONISTA
PENSAO JUDICIAL,PENSIONISTA
PENSIONISTA,PENSIONISTA
PENSIONISTA DO PBPREV,PENSIONISTA
PENSIONISTA DO TESOURO,PENSIONISTA
PERCUSSIONISTA PROF ORQUESTRA,MUSICO
PERCUSSIONISTA SUBSTITUTO,MUSICO
PERFURADOR,OUTROS
PERITO CRIMINAL,PERITO
PERITO DE TRANSITO,PERITO
PERITO MEDICO LEGAL,PERITO
PERITO ODONTO-LEGAL,PERITO
PERITO OFICIAL CRIMINAL,PERITO
PERITO OFICIAL MEDICO LEGAL,PERITO
PERITO OFICIAL ODONTO LEGAL,PERITO
PERITO OFICIAL QUIMICO LEGAL,PERITO
PERITO QUIMICO LEGAL,PERITO
PESQUISADOR,PESQUISADOR
PESQUISADOR I,PESQUISADOR
PESQUISADOR II,PESQUISADOR
PESQUISADOR III,PESQUISADOR
PESSOAL A DISPOSICAO,DISPOSICAO
PIANISTA COREPITIDOR,MUSICO
PIANISTA CORREPETIDOR,MUSICO
PINTOR INDUSTRIAL,OUTROS
PINTOR INDUSTRIAL  III7,OUTROS
PORTEIRO,OUTROS
PRATICANTE DE ESCRITORIO,OUTROS
PRATICO AGRICOLA,OUTROS
PRATICO VETERINARIO,OUTROS
PREGOEIRO,OUTROS
PRES COMISSAO LICITACAO,PRESIDENTE
PRES. COMISSAO LICITACAO,PRESIDENTE
PRES. CONSELHO ADMINISTRACAO,PRESIDENTE
PRESIDENTE,PRESIDENTE
PRESIDENTE COMISSAO LICITACAO,PRESIDENTE
PRESIDENTE DA COM.PERM. LICIT,PRESIDENTE
PRESTACAO DE SERVICO,PRESTACAO DE SERVICO
PRIM SARGENTO,MILITAR
PRIM TENENTE,MILITAR
PRIM VIOLINISTA PROF ORQUESTRA,MUSICO
PRO-REITOR,PRO-REITOR
PRO-REITOR ADJUNTO,PRO-REITOR
PRO-TEMPORE,OUTROS
PRO TEMPORE,OUTROS
PROCURADOR,PROCURADOR
PROCURADOR  I1,PROCURADOR
PROCURADOR ADJUNTO AL-PJ-002,PROCURADOR
PROCURADOR AL-PJ-001,PROCURADOR
PROCURADOR DE JUSTICA,PROCURADOR
PROCURADOR DO ESTADO,PROCURADOR
PROCURADOR GERAL,PROCURADOR
PROCURADOR JURIDICO,PROCURADOR
PROCURADOR TRIBUNAL CONTAS,PROCURADOR
PROCURADRO CHEFE,PROCURADOR
PRODUTOR EXECUTIVO,OUTROS
PROF ADJUNTO I,PROFESSOR
PROF DOUTOR-A-DE,PROFESSOR
PROF DOUTOR-A-T20,PROFESSOR
PROF DOUTOR-A-T40,PROFESSOR
PROF DOUTOR-B-DE,PROFESSOR
PROF DOUTOR-B-T20,PROFESSOR
PROF DOUTOR-B-T40,PROFESSOR
PROF DOUTOR-C-DE,PROFESSOR
PROF DOUTOR-C-T40,PROFESSOR
PROF DOUTOR-D-DE,PROFESSOR
PROF DOUTOR-D-T20,PROFESSOR
PROF DOUTOR-D-T40,PROFESSOR
PROF DOUTOR DE,PROFESSOR
PROF DOUTOR T20,PROFESSOR
PROF DOUTOR T40,PROFESSOR
PROF DR ASSOC-A-DE,PROFESSOR
PROF DR ASSOC-A-T40,PROFESSOR
PROF DR ASSOC-B-DE,PROFESSOR
PROF DR ASSOC-D-DE,PROFESSOR
PROF DR ASSOC DE,PROFESSOR
PROF DR ASSOC T40,PROFESSOR
PROF GRAD ESP-A-DE,PROFESSOR
PROF GRAD ESP-A-T40,PROFESSOR
PROF GRAD ESP-C-DE,PROFESSOR
PROF GRAD ESP-C-T20,PROFESSOR
PROF GRAD ESP-C-T40,PROFESSOR
PROF GRAD ESP-D-DE,PROFESSOR
PROF GRAD ESP-D-T20,PROFESSOR
PROF GRAD ESP-D-T40,PROFESSOR
PROF GRAD ESP DE,PROFESSOR
PROF GRAD ESP T20,PROFESSOR
PROF GRAD ESP T40,PROFESSOR
PROF GRADUADO-A-T20,PROFESSOR
PROF GRADUADO-A-T40,PROFESSOR
PROF GRADUADO-C-T40,PROFESSOR
PROF GRADUADO-D-DE,PROFESSOR
PROF GRADUADO-D-T20,PROFESSOR
PROF GRADUADO-D-T40,PROFESSOR
PROF GRADUADO DE,PROFESSOR
PROF GRADUADO T20,PROFESSOR
PROF GRADUADO T40,PROFESSOR
PROF MESTRE-A-DE,PROFESSOR
PROF MESTRE-A-T20,PROFESSOR
PROF MESTRE-A-T40,PROFESSOR
PROF MESTRE-B-DE,PROFESSOR
PROF MESTRE-B-T20,PROFESSOR
PROF MESTRE-B-T40,PROFESSOR
PROF MESTRE-C-DE,PROFESSOR
PROF MESTRE-C-T20,PROFESSOR
PROF MESTRE-C-T40,PROFESSOR
PROF MESTRE-D-DE,PROFESSOR
PROF MESTRE-D-T20,PROFESSOR
PROF MESTRE-D-T40,PROFESSOR
PROF MESTRE DE,PROFESSOR
PROF MESTRE T20,PROFESSOR
PROF MESTRE T40,PROFESSOR
PROF SUBST (DOUTOR T20),PROFESSOR
PROF SUBST (DOUTOR T40),PROFESSOR
PROF SUBST (ESPECIALISTA),PROFESSOR
PROF SUBST (GRADUADO),PROFESSOR
PROF SUBST (MESTRE T20),PROFESSOR
PROF SUBST (MESTRE T40),PROFESSOR
PROF SUBSTITUTO (ESPECIALISTA),PROFESSOR
PROF SUBSTITUTO (GRADUADO),PROFESSOR
PROF TITULAR,PROFESSOR
PROF TITULAR -T20,PROFESSOR
PROF VISIT T20-DOUTOR,PROFESSOR
PROF VISIT. T40-DOUTOR,PROFESSOR
PROF VISIT. T40R-DOUTOR,PROFESSOR
PROF VISIT. T40R-ESPEC.,PROFESSOR
PROF VISITANTE T-40 (DOUTORADO,PROFESSOR
PROF VISITANTE T40R (DOUTORADO,PROFESSOR
PROF. ADJUNTO,PROFESSOR
PROF. ASSISTENTE,PROFESSOR
PROFESSOR,PROFESSOR
PROFESSOR  SUBSTITUTO MESTRE,PROFESSOR
PROFESSOR  VISITANTE,PROFESSOR
PROFESSOR APOIO,PROFESSOR
PROFESSOR CEDIDO,PROFESSOR
PROFESSOR DE DANCA MODERNA,PROFESSOR
PROFESSOR DE EDUCACAO BASICA 1,PROFESSOR
PROFESSOR DE EDUCACAO BASICA 2,PROFESSOR
PROFESSOR DE EDUCACAO BASICA 3,PROFESSOR
PROFESSOR DE MUSICA,PROFESSOR
PROFESSOR SUBST. (ESPEC T20),PROFESSOR
PROFESSOR SUBST. (GRAD T20),PROFESSOR
PROFESSOR SUBST. DOUTOR T40,PROFESSOR
PROFESSOR SUBST. MESTRE T40,PROFESSOR
PROFESSOR SUBSTITUTO DOUTOR T,PROFESSOR
PROFESSOR SUBSTITUTO ESPECIAL,PROFESSOR
PROFESSOR SUBSTITUTO GRADUADO,PROFESSOR
PROFESSOR SUBSTITUTO MESTRE T,PROFESSOR
PROFESSOR TEMPORARIO,PROFESSOR
PROFESSOR TITULAR,PROFESSOR
PROGRAMADOR,PROGRAMADOR
PROGRAMADOR (ESTATUTARIO),PROGRAMADOR
PROGRAMADOR C6,PROGRAMADOR
PROGRAMADOR D6,PROGRAMADOR
PROGRAMADOR DE SISTEMA,PROGRAMADOR
PROGRAMADOR SIST LOGICO,PROGRAMADOR
PROJETISTA,OUTROS
PROMOTOR DE JUSTICA,PROMOTOR
PROMOTOR DE JUSTICA SUBSTITUTO,PROMOTOR
PROTETICO,OUTROS
PROTOCOLISTA,OUTROS
PSICOLOGO,PSICOLOGO
PSICOLOGO  IV1,PSICOLOGO
PSICOLOGO  IV5,PSICOLOGO
PSICOLOGO C5,PSICOLOGO
PSICOLOGO C6,PSICOLOGO
PSICOLOGO C7,PSICOLOGO
PSICOLOGO D6,PSICOLOGO
PSICOLOGO D7,PSICOLOGO
PSICOLOGO EDUCACIONAL,PSICOLOGO
PSICOLOGO OCUPACIONAL,PSICOLOGO
PSICOLOGO ORGANIZACIONAL,PSICOLOGO
PUBLICITARIO,PUBLICITARIO
QUIMICO,QUIMICO
QUIMICO INDUSTRIAL,QUIMICO
RADIOPERADOR,RADIOPERADOR
REABILITADOR,REABILITADOR
RECEBEDOR DE TAXAS,OUTROS
RECEPCIONISTA,RECEPCIONISTA
RECREADOR,RECREADOR
REDATOR,REDATOR
REDATOR DE ATAS,REDATOR
REDATOR MUSICAL,REDATOR
REGENTE,MUSICO
REGENTE DE ENSINO,PROFESSOR
RELACOES PUBLICAS,OUTROS
REP. FOTOGRAFICO,OUTROS
REPARADOR HIDROMETRO,OUTROS
REPORTER,REPORTER
REPORTER ESPECIAL,REPORTER
REPORTER ESPECIAL 1,REPORTER
REPORTER ESPECIAL 2,REPORTER
REPORTER FOTOGRAFICO,REPORTER
REPRESENTANTE,OUTROS
REQUISITADO,REQUISITADO
RESTAURADOR BENS CULTURAIS,OUTROS
REVISOR,REVISOR
REVISORA,REVISOR
ROTEIRISTA DE INTER. COMERCIA,OUTROS
ROTEIRISTA DE INTER. COMERCIAL,OUTROS
SEC AUXILIAR DA PRESIDENCIA AL,SECRETARIO
SEC CHEFE DA PRESIDENCIA AL-AS,SECRETARIO
SEC EXECUTIVA SUPERINTEN.,SECRETARIO
SEC PART C PROCON LEGISL AL-AS,SECRETARIO
SEC PARTIC CONSULTORIA JURIDIC,SECRETARIO
SEC PARTIC COORD ESC LEGISLATI,SECRETARIO
SEC PARTIC COORD GERAL CERIMON,SECRETARIO
SEC PARTIC DE DEPARTAMENTO AL-,SECRETARIO
SEC PARTIC DE DEPUTADO AL-AS-0,SECRETARIO
SEC PARTIC DE SEC ADJUNTO AL-A,SECRETARIO
SEC PARTIC DE SEC AL-AS-003,SECRETARIO
SEC PARTIC DO COORD CRECHE AL-,SECRETARIO
SEC PARTIC DO DIR ADJUNTO AL-A,SECRETARIO
SEC PARTIC DO DIRETOR GERAL AL,SECRETARIO
